device_type,issue_type,parts_cost,labor_hours,complexity,total_cost
laptop,screen_replacement,120,2.5,high,225
laptop,battery_replacement,45,0.8,low,85
laptop,keyboard_replacement,65,1.2,medium,125
laptop,liquid_damage,150,3.0,high,300
laptop,hinges_broken,40,1.5,medium,130
phone,screen_replacement,80,1.0,medium,150
phone,battery_replacement,30,0.5,low,65
phone,charging_port,25,1.0,medium,95
phone,speaker_replacement,20,0.8,low,70
phone,water_damage,100,2.0,high,200
refrigerator,cooling_system,200,3.0,high,500
refrigerator,door_seal,40,1.0,low,120
refrigerator,ice_maker,150,2.0,medium,300
refrigerator,thermostat,60,1.5,medium,170
refrigerator,compressor,250,4.0,high,550
television,power_supply,100,1.5,medium,200
television,screen_replacement,300,2.0,high,420
television,main_board,180,2.0,high,350
television,backlight,120,2.0,medium,250
television,speakers,50,1.0,low,110
chair,leg_repair,15,1.0,low,60
chair,upholstery,40,1.5,medium,115
chair,swivel_mechanism,30,1.0,medium,80
chair,armrest_repair,20,0.8,low,50
chair,backrest_support,25,1.2,medium,85
headphones,cable_repair,5,0.5,low,30
headphones,driver_replacement,25,0.8,medium,65
headphones,ear_cushion,10,0.3,low,25
headphones,headband_repair,15,0.5,low,40
toaster,heating_element,15,0.8,medium,55
toaster,lever_mechanism,10,0.7,low,40
toaster,thermostat,20,0.9,medium,65
microwave,turntable_motor,30,1.0,medium,90
microwave,door_latch,20,0.8,low,60
microwave,control_panel,50,1.2,medium,110
microwave,magnetron,100,2.0,high,220
tablet,screen_replacement,90,1.5,medium,175
tablet,battery_replacement,40,1.0,medium,100
tablet,charging_port,30,1.2,medium,100
tablet,button_replacement,20,0.8,low,65